symbol,method_of_action,cosmic_moa,intogen_moa,huang_et_al_moa,gene_id,dataset_name
FANCD2,LoF,TSG,LoF,Tumor Suppressor Gene,SIDG08785,"Driver genes, CPV genes"
FANCE,LoF,TSG,NaN,Tumor Suppressor Gene,SIDG08789,"Driver genes, CPV genes"
FANCF,LoF,TSG,LoF,Tumor Suppressor Gene,SIDG08790,"Driver genes, CPV genes"
FANCG,LoF,TSG,NaN,Tumor Suppressor Gene,SIDG08791,"Driver genes, CPV genes"
FANCI,LoF,NaN,NaN,Tumor Suppressor Gene,SIDG08792,CPV genes
FANCL,LoF,NaN,NaN,Tumor Suppressor Gene,SIDG08793,CPV genes
FANCM,LoF,NaN,NaN,Tumor Suppressor Gene,SIDG08794,CPV genes
FAS,LoF,TSG,LoF,,SIDG08815,Driver genes
FAT1,LoF,TSG,LoF,,SIDG08824,Driver genes
FAT2,Act,,Act,,SIDG08826,Driver genes
FAT3,ambiguous,,ambiguous,,SIDG08827,Driver genes
FAT4,LoF,TSG,LoF,,SIDG08828,Driver genes
FBLN1,Act,,Act,,SIDG08842,Driver genes
FBN2,ambiguous,,ambiguous,,SIDG08847,Driver genes
FBXO11,LoF,TSG,LoF,,SIDG08883,Driver genes
FBXW7,LoF,TSG,LoF,,SIDG08918,Driver genes
FCGR2B,Act,"oncogene, fusion",,,SIDG08948,Driver genes
FCRL4,Act,"oncogene, fusion",,,SIDG08969,Driver genes
FES,ambiguous,"oncogene, TSG",,,SIDG09023,Driver genes
FEV,Act,"oncogene, fusion",,,SIDG09025,Driver genes
FGD5,Act,,Act,,SIDG09041,Driver genes
FGFR1,Act,"oncogene, fusion",Act,,SIDG09086,Driver genes
FGFR2,Act,"oncogene, fusion",Act,,SIDG09090,Driver genes
FGFR3,Act,"oncogene, fusion",Act,,SIDG09091,Driver genes
FGFR4,Act,oncogene,Act,,SIDG09098,Driver genes
FH,LoF,TSG,LoF,Tumor Suppressor Gene,SIDG09108,"Driver genes, CPV genes"
FHIT,ambiguous,"TSG, fusion",ambiguous,,SIDG09111,Driver genes
FIP1L1,fusion,fusion,,,SIDG09135,Driver genes
FLCN,LoF,TSG,LoF,Not classified,SIDG09173,"Driver genes, CPV genes"
FLI1,Act,"oncogene, fusion",,,SIDG09177,Driver genes
FLT3,Act,oncogene,Act,,SIDG09192,Driver genes
FLT4,ambiguous,oncogene,ambiguous,,SIDG09194,Driver genes
FN1,LoF,,LoF,,SIDG09225,Driver genes
FOXA1,ambiguous,oncogene,LoF,,SIDG09271,Driver genes
FOXA2,LoF,,LoF,,SIDG09272,Driver genes
FOXD4L1,LoF,,LoF,,SIDG09287,Driver genes
FOXL2,ambiguous,"oncogene, TSG",Act,,SIDG09308,Driver genes
FOXO1,ambiguous,"oncogene, TSG, fusion",Act,,SIDG09318,Driver genes
FOXO3,ambiguous,"oncogene, TSG, fusion",ambiguous,,SIDG09320,Driver genes
FOXO4,ambiguous,"oncogene, TSG, fusion",,,SIDG09322,Driver genes
FOXP1,Act,"oncogene, fusion",Act,,SIDG09324,Driver genes
FSTL3,Act,"oncogene, fusion",,,SIDG09542,Driver genes
FUBP1,ambiguous,oncogene,LoF,,SIDG09604,Driver genes
FUS,LoF,"TSG, fusion",,,SIDG09618,Driver genes
GAS7,fusion,fusion,,,SIDG09884,Driver genes
GATA1,ambiguous,"oncogene, TSG",Act,,SIDG09889,Driver genes
GATA2,Act,oncogene,Act,,SIDG09890,Driver genes
GATA3,ambiguous,"oncogene, TSG",LoF,,SIDG09892,Driver genes
GLI1,Act,,Act,,SIDG10175,Driver genes
GMPS,LoF,,LoF,,SIDG10272,Driver genes
GNA11,Act,oncogene,Act,,SIDG10274,Driver genes
GNA13,LoF,,LoF,,SIDG10276,Driver genes
GNAI2,ambiguous,,ambiguous,,SIDG10281,Driver genes
GNAQ,Act,oncogene,Act,,SIDG10287,Driver genes
GNAS,Act,oncogene,Act,,SIDG10289,Driver genes
GOLGA5,fusion,fusion,,,SIDG10361,Driver genes
GOPC,fusion,fusion,,,SIDG10415,Driver genes
GPC3,ambiguous,"oncogene, TSG",NaN,Not classified,SIDG10460,"Driver genes, CPV genes"
GPHN,fusion,fusion,,,SIDG10478,Driver genes
GRIN2A,ambiguous,TSG,Act,,SIDG10664,Driver genes
GTF2I,Act,,Act,,SIDG10793,Driver genes
H3-3A,Act,oncogene,Act,,SIDG10944,Driver genes
H3-3B,Act,oncogene,,,SIDG10951,Driver genes
H3C2,Act,oncogene,Act,,SIDG11335,Driver genes
H4C9,Act,fusion,Act,,SIDG11353,Driver genes
HERC2,ambiguous,,ambiguous,,SIDG11180,Driver genes
HERPUD1,fusion,fusion,,,SIDG11196,Driver genes
HEY1,Act,"oncogene, fusion",,,SIDG11213,Driver genes
HGF,Act,,Act,,SIDG11219,Driver genes
HIF1A,Act,oncogene,,,SIDG11241,Driver genes
HIP1,Act,"oncogene, fusion",Act,,SIDG11280,Driver genes
HLA-A,ambiguous,fusion,ambiguous,,SIDG11393,Driver genes
HLA-B,ambiguous,,ambiguous,,SIDG11394,Driver genes
HLF,Act,"oncogene, fusion",,,SIDG11441,Driver genes
HMGA1,Act,"oncogene, fusion",,,SIDG11462,Driver genes
HMGA2,Act,"oncogene, fusion",,,SIDG11471,Driver genes
HNF1A,LoF,TSG,LoF,Tumor Suppressor Gene,SIDG11670,"Driver genes, CPV genes"
HNRNPA2B1,Act,"oncogene, fusion",Act,,SIDG11758,Driver genes
HOOK3,fusion,fusion,,,SIDG11843,Driver genes
HOXA11,ambiguous,"oncogene, TSG, fusion",ambiguous,,SIDG11864,Driver genes
HOXA13,Act,"oncogene, fusion",,,SIDG11866,Driver genes
HOXA9,ambiguous,"oncogene, TSG, fusion",,,SIDG11861,Driver genes
HOXC11,Act,"oncogene, fusion",,,SIDG11892,Driver genes
HOXC13,Act,"oncogene, fusion",Act,,SIDG11894,Driver genes
HOXD11,Act,"oncogene, fusion",,,SIDG11904,Driver genes
HOXD13,ambiguous,"oncogene, fusion",LoF,,SIDG11906,Driver genes
HRAS,Act,oncogene,Act,,SIDG11947,Driver genes
HSP90AA1,Act,fusion,Act,,SIDG12029,Driver genes
